FULL NAME,TEAM,POS,AGE,GP,MPG,ORTG,DRTG,USG%,TO%,3PA,3P%,FTA,FT%,eFG%,TS%,MPG,PPG,RPG,APG,VI,,
Jonathan Bender,Nyk,SF,28,25,57,94.8,112.1,21.7,0.201,39,0.359,26,0.923,0.47,0.529,11.5,4.7,2.1,0.6,2.4,,
Josh Boone,Njn,C,25,63,19,106.8,107.5,12.7,0.13,0,0,58,0.328,0.525,0.509,16.4,4,5,0.5,3.4,,
Jon Brockman,Sac,C,22,52,30,122.3,110.8,10.6,0.15,0,0,62,0.597,0.534,0.564,12.4,2.8,4.1,0.4,2.7,,
Jose Calderon,Tor,PG,28,68,14,118.7,116.5,17.9,0.139,172,0.401,104,0.798,0.543,0.57,26.5,10.3,2.1,5.9,6.9,,
Jamal Crawford,Atl,SG,29,79,3,114.5,110.7,26.3,0.099,427,0.382,315,0.857,0.523,0.573,31,18,2.5,3,6.1,,
Jared Dudley,Pho,PF,24,82,0,123.4,111,13.5,0.11,262,0.458,138,0.754,0.582,0.612,24.1,8.2,3.4,1.4,4.9,,
Jordan Farmar,Lal,PG,23,82,0,105.4,105.9,19.4,0.115,229,0.376,85,0.671,0.518,0.535,17.8,7.2,1.6,1.5,3.5,,
Jonny Flynn,Min,PG,20,81,1,97.6,114.4,24.7,0.178,215,0.358,270,0.826,0.457,0.511,28.7,13.5,2.4,4.4,6.7,,
Jeff Foster,Ind,C,33,16,66,108.2,108.3,11,0.219,1,0,9,0.556,0.478,0.49,15.8,3.1,5.1,1.3,4.7,,
J.R. Giddens,Nyk,SF,24,11,71,98.3,111.4,17.4,0.186,8,0,11,0.636,0.487,0.513,12.6,4.1,2.8,0.6,2.8,,
Joey Graham,Den,SF,27,63,19,105.7,108.7,16.4,0.159,13,0.154,73,0.74,0.527,0.571,11.8,4.2,2,0.3,1.9,,
Jeff Green,Okc,PF,23,82,0,106.3,104.7,19.3,0.104,311,0.334,223,0.74,0.503,0.531,36.9,15.1,6,1.6,7.1,,
